date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:55	31344/31344	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2022:16:01%20GMT	https://dsathemes.com/html/shiftkey/files/demo-1.html	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/demo-1.html	(from )
11:08:56	4746/4746	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jan%202024%2010:08:56%20GMT	https://dsathemes.com/robots.txt		(from )
11:08:56	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2030%20Apr%202019%2022:17:21%20GMT	https://dsathemes.com/html/shiftkey/files/images/favicon.ico	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/images/favicon.ico	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:08:56	4080/4080	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202019%2022:16:56%20GMT	https://dsathemes.com/html/shiftkey/files/images/apple-touch-icon-152x152.png	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/images/apple-touch-icon-152x152.png	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:08:57	3640/3640	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202019%2022:16:55%20GMT	https://dsathemes.com/html/shiftkey/files/images/apple-touch-icon-120x120.png	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/images/apple-touch-icon-120x120.png	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:08:57	2295/2295	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202019%2022:16:56%20GMT	https://dsathemes.com/html/shiftkey/files/images/apple-touch-icon-76x76.png	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/images/apple-touch-icon-76x76.png	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:08:57	2005/2005	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202019%2022:16:57%20GMT	https://dsathemes.com/html/shiftkey/files/images/apple-touch-icon.png	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/images/apple-touch-icon.png	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:08:58	155758/155758	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:28%20GMT	https://dsathemes.com/html/shiftkey/files/css/bootstrap.min.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/bootstrap.min.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:08:59	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/Users/ashra/OneDrive/Bureau/websites/test/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:08:59	24268/24268	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:33%20GMT	https://dsathemes.com/html/shiftkey/files/css/flaticon.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/flaticon.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:09:00	6978/6978	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:35%20GMT	https://dsathemes.com/html/shiftkey/files/css/magnific-popup.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/magnific-popup.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:09:01	2936/2936	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:36%20GMT	https://dsathemes.com/html/shiftkey/files/css/owl.carousel.min.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/owl.carousel.min.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:09:01	936/936	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:37%20GMT	https://dsathemes.com/html/shiftkey/files/css/owl.theme.default.min.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/owl.theme.default.min.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:09:01	24045/24045	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:23%20GMT	https://dsathemes.com/html/shiftkey/files/css/animate.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/animate.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:09:01	80207/80207	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:38%20GMT	https://dsathemes.com/html/shiftkey/files/css/purple-theme.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/purple-theme.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:09:02	80179/80179	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:24%20GMT	https://dsathemes.com/html/shiftkey/files/css/aqua-theme.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/aqua-theme.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:09:02	80179/80179	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:26%20GMT	https://dsathemes.com/html/shiftkey/files/css/blue-theme.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/blue-theme.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
11:09:02	80135/80135	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2022:16:27%20GMT	https://dsathemes.com/html/shiftkey/files/css/bluegrey-theme.css	C:/Users/ashra/OneDrive/Bureau/websites/test/dsathemes.com/html/shiftkey/files/css/bluegrey-theme.css	(from https://dsathemes.com/html/shiftkey/files/demo-1.html)
